asin,asn_arn,inbound_shipment_delivery_id,order_id,prep_performed,receive_process_path,receive_visibility_id,received_container_type,received_date_local,received_date_utc,received_on_day,received_qty,received_scannable_id,region_id,sscc_code,warehouse_id
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C704FB1E-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70528E6-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C7055500-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70582DC-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C705B5CC-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70618FA-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70649C4-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C7067FD4-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C706B65C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C706EE56-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C7075F08-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C708A32C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C709943A-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C709C1F8-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C709FB8C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70A4010-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70A7828-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70AB9E6-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70B2F0C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70B5BBC-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70B8D62-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70BCFA2-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70C0666-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70C3D5C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70C747A-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C70D52E6-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE972B4E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE99BC88-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9ADABE-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9B2DCA-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9C71C6-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9CB956-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9CFB28-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9D3B60-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9D8570-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9DCC9C-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9E0E82-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9E5D06-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9EA144-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AE9F4C8E-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA05EA8-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA0CA78-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA11B72-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
B005LFT37U,(null),9462611099,17RR83IH,0,LP-CASE-ITEMS,AEA164D8-6304-11E6-8BB6-0F56492F3C97,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZgr,1,6.20E+15,ABE2
